iso3,country_name,penetration_2010,penetration_latest,mean_annual_growth,year_crossed_50pct,cluster_label
AUS,Australia,76.0,96.13140106,1.4379572185714287,2010.0,2
BGD,Bangladesh,3.700000048,53.42171316,3.5515509365714286,2024.0,1
BRN,Brunei,53.0,96.29828801,3.0927348578571423,2010.0,0
CAN,Canada,80.3,94.353302,1.003807285714286,2010.0,2
CHL,Chile,45.0,95.590243,3.6135887857142857,2011.0,0
CHN,China,34.3,92.0,4.121428571428572,2015.0,0
FJI,Fiji,20.0,74.7052002,3.9075142999999994,2017.0,1
FSM,Micronesia (Fed. States),20.0,39.52360153,1.3945429664285716,2030.0,3
IDN,Indonesia,10.92,72.78075544,4.418625388571428,2020.0,1
IND,India,7.5,64.9434967,4.103106907142857,2022.0,1
JPN,Japan,78.21,85.54153081,0.5236807721428575,2010.0,2
KHM,Cambodia,1.26,68.47530365,4.8010931178571425,2018.0,1
KOR,South Korea,83.7,97.89563777,1.0139741264285707,2010.0,2
LAO,Laos,7.0,65.59269714,4.185192652857142,2020.0,1
LKA,Sri Lanka,6.912399769,54.59,3.4055428736428572,2023.0,1
MEX,Mexico,31.05,83.12233799,3.719452713571429,2015.0,0
MMR,Myanmar,0.25,45.4477005,3.4767461923076928,2030.0,3
MNG,Mongolia,10.2,85.12349701,5.351678357857142,2019.0,1
MYS,Malaysia,56.3,98.0206059,2.9800432785714293,2010.0,0
NPL,Nepal,7.93,46.32189941,2.742278529285714,2030.0,3
NZL,New Zealand,80.45999908,93.51930237,0.9328073778571431,2010.0,2
PAK,Pakistan,8.0,57.253,3.5180714285714285,2024.0,1
PER,Peru,34.77,81.95705992,3.37050428,2017.0,0
PHL,Philippines,25.0,67.26300914,3.0187863671428565,2020.0,1
PNG,Papua New Guinea,1.28,18.81159973,1.2522571235714286,2030.0,3
SGP,Singapore,71.0,94.37757178,1.6698265557142855,2010.0,2
SLB,Solomon Islands,5.0,29.04070091,1.7171929221428572,2030.0,3
THA,Thailand,22.4,90.86718789,4.890513420714285,2017.0,0
TLS,Timor-Leste,3.0,35.04199982,2.288714272857143,2030.0,3
TON,Tonga,16.0,67.4417038,3.674407414285714,2019.0,1
USA,United States,71.69,94.69380188,1.6431287057142856,2010.0,2
VNM,Vietnam,30.65,84.15,3.821428571428572,2016.0,0
VUT,Vanuatu,8.0,22.35140038,1.7939250475000001,2030.0,3
WSM,Samoa,7.0,21.20000076,2.028571537142857,2030.0,3
